ip,day,ts,active,apparent,cos_phi,reactive,tension1_2,tension2_3,tension3_1
192.168.0.4,2023-01-01,2022-12-31 23:03:01.796+0000,82160,86280,-0.9731,-15360,240.04999,239.75,240
192.168.0.4,2023-01-01,2022-12-31 23:13:02.443+0000,82600,85000,-0.9711,-14280,240.23,240.2,239.75999
192.168.0.4,2023-01-01,2022-12-31 23:33:04.392+0000,82920,85840,-0.9658,-16040,239.92999,239.81,239.81
192.168.0.4,2023-01-01,2022-12-31 23:48:08.444+0000,90920,93680,-0.9722,-17080,240,239.75,239.68999
192.168.0.4,2023-01-01,2022-12-31 23:53:08.453+0000,84960,85160,-0.9658,-16840,239.84,239.75,239.68999
192.168.0.4,2023-01-01,2022-12-31 23:58:08.699+0000,84720,87960,-0.9694,-16280,239.84,239.75,239.68999
192.168.0.4,2023-01-01,2023-01-01 00:08:09.749+0000,82040,84360,-0.9665,-15560,239.84,239.75,239.68999
192.168.0.4,2023-01-01,2023-01-01 00:13:09.878+0000,92080,93160,-0.9726,-15560,239.45999,239.39999,239.59999
192.168.0.4,2023-01-01,2023-01-01 00:23:10.860+0000,80440,83160,-0.9714,-13640,239.58,239.59999,239.59999
192.168.0.4,2023-01-01,2023-01-01 00:33:11.815+0000,87200,89080,-0.9716,-15000,239.58,239.59999,239.68999
192.168.0.4,2023-01-01,2023-01-01 00:38:12.113+0000,94800,94040,-0.9748,-15000,239.78999,239.75999,239.68999
192.168.0.4,2023-01-01,2023-01-01 00:43:12.658+0000,82120,84400,-0.9733,-14520,239.73,239.68999,239.53999
192.168.0.4,2023-01-01,2023-01-01 00:53:13.500+0000,83320,86680,-0.963,-15800,239.84999,239.68999,239.72
192.168.0.4,2023-01-01,2023-01-01 01:08:14.259+0000,71480,72800,-0.9563,-17120,239.78,239.95999,239.87999
192.168.0.4,2023-01-01,2023-01-01 01:13:15.325+0000,72480,75280,-0.956,-17120,240.12,240.04999,239.87999
192.168.0.4,2023-01-01,2023-01-01 01:28:16.461+0000,67280,70480,-0.9511,-15560,240.17999,240.28999,240.28999
192.168.0.4,2023-01-01,2023-01-01 01:33:16.583+0000,61320,64800,-0.9462,-15840,240.5,240.28999,240.28999
192.168.0.4,2023-01-01,2023-01-01 01:38:16.767+0000,62160,64720,-0.9428,-16080,240.5,240.54999,240.43999
192.168.0.4,2023-01-01,2023-01-01 01:43:17.184+0000,63560,65640,-0.9438,-17920,240.67999,240.54999,240.43999
192.168.0.4,2023-01-01,2023-01-01 01:58:19.212+0000,63280,67880,-0.9524,-15000,240.84999,240.73,240.70999
192.168.0.4,2023-01-01,2023-01-01 02:08:20.304+0000,59720,62400,-0.9432,-15240,241.17999,240.90999,240.89999
